"날짜","현재가","오픈","고가","저가","거래량","변동 %"
"2017년 12월 18일","77,200","76,200","77,300","75,900","3.15M","1.98%"
"2017년 12월 17일","75,700","75,700","75,700","75,700","-","0.00%"
"2017년 12월 15일","75,700","77,100","77,400","75,600","3.31M","-0.39%"
"2017년 12월 14일","76,000","77,200","77,600","76,000","5.49M","-1.04%"
"2017년 12월 13일","76,800","77,400","77,500","76,200","3.46M","-1.29%"
"2017년 12월 12일","77,800","79,000","79,000","77,100","3.19M","-1.14%"
"2017년 12월 11일","78,700","79,000","79,500","78,000","2.47M","0.00%"
"2017년 12월 10일","78,700","78,700","78,700","78,700","12.88K","0.00%"
"2017년 12월 08일","78,700","77,500","78,900","76,900","3.64M","3.55%"
"2017년 12월 07일","76,000","78,300","78,300","75,600","5.13M","-1.94%"
"2017년 12월 06일","77,500","78,700","79,500","77,200","3.92M","-0.51%"
"2017년 12월 05일","77,900","77,600","79,300","77,100","3.71M","-1.52%"
"2017년 12월 04일","79,100","77,600","79,200","76,800","4.09M","2.20%"
"2017년 12월 03일","77,400","77,400","77,400","77,400","34.99K","0.00%"
"2017년 12월 01일","77,400","77,200","78,800","77,100","4.20M","0.78%"
"2017년 11월 30일","76,800","77,000","79,600","76,800","10.74M","-6.80%"
"2017년 11월 29일","82,400","82,900","83,000","82,100","2.40M","-0.24%"
"2017년 11월 28일","82,600","82,900","83,600","81,200","4.07M","-0.60%"
"2017년 11월 27일","83,100","86,000","86,700","82,000","6.91M","-2.35%"
"2017년 11월 26일","85,100","85,100","85,100","85,100","0.76K","0.00%"
"2017년 11월 24일","85,100","84,500","85,400","83,900","2.06M","0.47%"
"2017년 11월 23일","84,700","86,200","86,300","84,500","2.82M","-2.42%"
"2017년 11월 22일","86,800","86,500","87,700","86,100","4.57M","2.12%"
"2017년 11월 21일","85,000","83,200","85,000","82,800","5.51M","3.53%"
"2017년 11월 20일","82,100","83,300","83,300","81,800","2.98M","-1.08%"
"2017년 11월 19일","83,000","83,000","83,000","83,000","4.73K","0.00%"
"2017년 11월 17일","83,000","83,300","84,800","83,000","4.25M","0.61%"
"2017년 11월 16일","82,500","82,300","82,800","81,200","3.05M","0.61%"
"2017년 11월 15일","82,000","83,800","84,200","81,900","3.19M","-1.68%"
"2017년 11월 14일","83,400","83,000","84,500","82,900","3.39M","1.34%"
"2017년 11월 13일","82,300","82,000","83,100","81,800","2.94M","0.37%"
"2017년 11월 12일","82,000","82,000","82,000","82,000","0.31K","0.00%"
"2017년 11월 10일","82,000","81,300","82,800","81,000","2.35M","-0.49%"
"2017년 11월 09일","82,400","83,200","83,500","81,600","3.74M","-0.96%"
"2017년 11월 08일","83,200","82,100","84,400","81,800","3.39M","0.97%"
"2017년 11월 07일","82,400","82,800","83,300","82,200","2.98M","-1.32%"
"2017년 11월 06일","83,500","83,600","84,100","83,000","3.12M","-1.07%"
"2017년 11월 05일","84,400","84,400","84,400","84,400","8.66K","0.00%"
"2017년 11월 03일","84,400","83,400","84,500","81,900","4.02M","1.20%"
"2017년 11월 02일","83,400","85,000","85,100","83,200","4.45M","-2.23%"
"2017년 11월 01일","85,300","86,000","86,000","84,000","6.98M","3.77%"
"2017년 10월 31일","82,200","80,000","82,700","79,200","6.60M","3.01%"
"2017년 10월 30일","79,800","79,600","81,300","79,100","5.87M","1.79%"
"2017년 10월 29일","78,400","78,400","78,400","78,400","0.34K","0.00%"
"2017년 10월 27일","78,400","78,100","78,700","76,500","8.87M","-0.38%"
"2017년 10월 26일","78,700","80,000","82,000","78,500","7.50M","-3.67%"
"2017년 10월 25일","81,700","82,100","82,600","80,300","3.89M","-0.12%"
"2017년 10월 24일","81,800","84,000","84,200","81,600","5.19M","-3.42%"
"2017년 10월 23일","84,700","82,600","84,700","82,100","5.37M","4.31%"
"2017년 10월 22일","81,200","81,200","81,200","81,200","0.42K","0.00%"
"2017년 10월 20일","81,200","79,800","82,400","79,600","6.85M","2.78%"
"2017년 10월 19일","79,000","79,900","81,800","79,000","7.62M","-2.35%"
"2017년 10월 18일","80,900","83,200","83,300","80,000","9.00M","-3.11%"
"2017년 10월 17일","83,500","85,700","86,600","83,500","6.75M","-0.83%"
"2017년 10월 16일","84,200","86,100","87,100","82,800","6.97M","-2.21%"
"2017년 10월 15일","86,100","86,100","86,100","86,100","3.82K","0.00%"
"2017년 10월 13일","86,100","88,500","88,500","85,600","6.07M","-2.71%"
"2017년 10월 12일","88,500","89,200","89,900","88,100","4.30M","-0.67%"
"2017년 10월 11일","89,100","89,900","90,300","88,100","5.47M","0.45%"
"2017년 10월 10일","88,700","86,300","90,000","85,300","7.94M","7.00%"
"2017년 10월 09일","82,900","82,900","82,900","82,900","0.35K","0.00%"
"2017년 09월 29일","82,900","83,300","84,300","82,200","3.55M","-0.36%"
"2017년 09월 28일","83,200","84,500","85,500","82,500","4.80M","0.97%"
"2017년 09월 27일","82,400","83,100","83,800","81,400","4.88M","0.37%"
"2017년 09월 26일","82,100","84,100","85,100","81,000","10.95M","-4.87%"
"2017년 09월 25일","86,300","83,600","86,300","83,600","4.62M","3.85%"
"2017년 09월 24일","83,100","83,100","83,100","83,100","10.60K","0.00%"
"2017년 09월 22일","83,100","82,900","84,300","82,000","5.69M","0.00%"
"2017년 09월 21일","83,100","81,100","83,400","80,400","6.50M","2.97%"
"2017년 09월 20일","80,700","79,300","81,200","78,400","5.25M","1.89%"
"2017년 09월 19일","79,200","80,100","80,500","78,500","3.92M","-0.63%"
"2017년 09월 18일","79,700","78,200","80,000","77,700","3.55M","3.24%"
"2017년 09월 17일","77,200","77,200","77,200","77,200","0.49K","0.00%"
"2017년 09월 15일","77,200","76,100","77,500","76,000","2.71M","0.52%"
"2017년 09월 14일","76,800","76,300","76,800","75,700","3.36M","1.45%"
"2017년 09월 13일","75,700","75,000","77,400","74,300","5.58M","1.34%"
"2017년 09월 12일","74,700","74,800","74,900","73,500","3.45M","1.22%"
"2017년 09월 11일","73,800","73,600","74,200","73,200","3.31M","1.65%"
"2017년 09월 10일","72,600","72,600","72,600","72,600","0.69K","0.00%"
"2017년 09월 08일","72,600","72,000","72,800","71,500","2.85M","1.68%"
"2017년 09월 07일","71,400","71,600","72,800","71,200","3.85M","-0.42%"
"2017년 09월 06일","71,700","69,900","71,900","69,700","4.43M","2.58%"
"2017년 09월 05일","69,900","68,600","70,100","67,900","4.02M","2.64%"
"2017년 09월 04일","68,100","66,600","68,600","66,600","3.18M","-0.87%"
"2017년 09월 03일","68,700","68,700","68,700","68,700","0.06K","0.00%"
"2017년 09월 01일","68,700","69,000","69,200","67,700","2.29M","0.15%"
"2017년 08월 31일","68,600","68,900","69,300","68,200","2.05M","0.15%"
"2017년 08월 30일","68,500","68,300","68,900","68,100","2.10M","1.33%"
"2017년 08월 29일","67,600","67,300","67,900","66,400","2.95M","-0.44%"
"2017년 08월 28일","67,900","68,000","68,100","67,100","1.84M","-0.73%"
"2017년 08월 27일","68,400","68,400","68,400","68,400","2.09K","0.00%"
"2017년 08월 25일","68,400","68,300","68,400","67,600","1.85M","0.44%"
"2017년 08월 24일","68,100","68,200","68,700","67,500","2.32M","0.15%"
"2017년 08월 23일","68,000","69,000","69,000","67,600","3.07M","-0.29%"
"2017년 08월 22일","68,200","67,400","68,200","67,200","2.19M","1.49%"
"2017년 08월 21일","67,200","67,300","67,800","66,600","2.56M","0.30%"
"2017년 08월 20일","67,000","67,000","67,000","67,000","3.51K","0.00%"
"2017년 08월 18일","67,000","64,900","67,300","64,800","3.12M","0.90%"
"2017년 08월 17일","66,400","66,800","67,300","66,100","3.69M","0.45%"
"2017년 08월 16일","66,100","67,200","67,300","65,800","4.71M","1.54%"
"2017년 08월 15일","65,100","65,100","65,100","65,100","0.63K","0.00%"
"2017년 08월 14일","65,100","63,000","65,100","62,300","5.20M","6.03%"
"2017년 08월 13일","61,400","61,400","61,400","61,400","0.59K","0.00%"
"2017년 08월 11일","61,400","62,000","63,000","61,400","6.63M","-4.66%"
"2017년 08월 10일","64,400","63,700","64,600","63,200","4.40M","0.31%"
"2017년 08월 09일","64,200","65,400","65,400","64,000","4.00M","-3.17%"
"2017년 08월 08일","66,300","64,900","66,400","64,800","4.32M","3.43%"
"2017년 08월 07일","64,100","64,000","65,000","63,700","3.48M","0.16%"
"2017년 08월 06일","64,000","64,000","64,000","64,000","2.07K","0.00%"
"2017년 08월 04일","64,000","65,100","66,100","63,200","5.92M","-2.29%"
"2017년 08월 03일","65,500","67,900","67,900","65,200","4.98M","-3.68%"
"2017년 08월 02일","68,000","67,900","68,200","66,600","4.15M","3.82%"
"2017년 08월 01일","65,500","65,300","66,500","64,700","3.72M","-0.76%"
"2017년 07월 31일","66,000","63,700","66,000","63,700","4.76M","2.17%"
"2017년 07월 30일","64,600","64,600","64,600","64,600","4.79K","0.00%"
"2017년 07월 28일","64,600","67,800","67,900","64,200","8.02M","-5.56%"
"2017년 07월 27일","68,400","66,800","69,500","66,800","6.16M","2.40%"
"2017년 07월 26일","66,800","69,600","69,900","66,700","9.62M","-5.11%"
"2017년 07월 25일","70,400","72,900","73,000","70,100","6.01M","-3.56%"
"2017년 07월 24일","73,000","71,300","73,000","71,000","3.58M","2.53%"
"2017년 07월 23일","71,200","71,200","71,200","71,200","3.20K","0.00%"
"2017년 07월 21일","71,200","70,800","71,300","70,300","1.59M","-0.14%"
"2017년 07월 20일","71,300","71,400","71,700","70,800","1.62M","0.42%"
"2017년 07월 19일","71,000","71,200","71,200","70,000","2.00M","0.28%"
"2017년 07월 18일","70,800","70,700","71,800","70,600","2.02M","-0.56%"
"2017년 07월 17일","71,200","71,800","71,900","70,200","2.80M","0.14%"
"2017년 07월 16일","71,100","71,100","71,100","71,100","1.42K","0.00%"
"2017년 07월 14일","71,100","71,400","72,200","70,700","2.93M","0.71%"
"2017년 07월 13일","70,600","69,500","71,900","69,200","5.42M","2.47%"
"2017년 07월 12일","68,900","68,700","69,500","68,400","3.40M","-0.14%"
"2017년 07월 11일","69,000","67,400","69,000","66,900","3.17M","2.53%"
"2017년 07월 10일","67,300","67,000","67,500","65,700","2.65M","1.05%"
"2017년 07월 09일","66,600","66,600","66,600","66,600","0.14K","0.00%"
"2017년 07월 07일","66,600","67,600","68,400","66,100","3.22M","-2.20%"
"2017년 07월 06일","68,100","69,000","69,400","67,500","4.04M","0.15%"
"2017년 07월 05일","68,000","65,600","68,200","65,300","4.40M","3.34%"
"2017년 07월 04일","65,800","65,900","67,100","65,300","2.88M","-0.75%"
"2017년 07월 03일","66,300","66,500","66,900","65,500","3.75M","-1.63%"
"2017년 07월 02일","67,400","67,400","67,400","67,400","-","0.00%"
"2017년 06월 30일","67,400","67,400","67,800","67,000","3.17M","-1.61%"
"2017년 06월 29일","68,500","67,900","68,800","67,100","3.64M","1.93%"
"2017년 06월 28일","67,200","68,100","69,200","66,800","5.49M","-2.89%"
"2017년 06월 27일","69,200","68,200","69,600","67,000","4.93M","2.52%"
"2017년 06월 26일","67,500","65,000","67,500","65,000","3.50M","3.85%"
"2017년 06월 25일","65,000","65,000","65,000","65,000","1.09K","0.00%"
"2017년 06월 23일","65,000","64,500","65,400","63,500","3.10M","0.00%"
"2017년 06월 22일","65,000","66,500","66,500","64,500","4.89M","0.31%"
"2017년 06월 21일","64,800","63,300","66,300","62,900","5.63M","1.25%"
"2017년 06월 20일","64,000","64,700","65,400","63,700","6.49M","1.91%"
"2017년 06월 19일","62,800","61,300","63,200","61,300","5.30M","3.80%"
"2017년 06월 18일","60,500","60,500","60,500","60,500","1.29K","0.00%"
"2017년 06월 16일","60,500","61,100","61,600","59,900","3.92M","-0.17%"
"2017년 06월 15일","60,600","59,300","61,000","59,300","4.49M","2.19%"
"2017년 06월 14일","59,300","59,200","60,000","58,800","4.30M","0.85%"
"2017년 06월 13일","58,800","57,700","58,900","56,900","3.41M","2.26%"
"2017년 06월 12일","57,500","57,200","57,900","56,800","2.64M","-1.37%"
"2017년 06월 11일","58,300","58,300","58,300","58,300","3.24K","0.00%"
"2017년 06월 09일","58,300","56,700","58,400","56,500","4.79M","2.82%"
"2017년 06월 08일","56,700","56,500","57,000","56,200","3.94M","0.35%"
"2017년 06월 07일","56,500","55,900","56,900","55,400","3.00M","0.71%"
"2017년 06월 06일","56,100","56,100","56,100","56,100","1.43K","0.00%"
"2017년 06월 05일","56,100","57,200","57,200","55,900","2.49M","-1.75%"
"2017년 06월 04일","57,100","57,100","57,100","57,100","0.58K","0.00%"
"2017년 06월 02일","57,100","56,900","57,500","56,400","2.46M","1.24%"
"2017년 06월 01일","56,400","56,700","56,900","56,100","2.00M","-1.05%"
"2017년 05월 31일","57,000","57,400","57,900","56,500","3.26M","-0.70%"
"2017년 05월 30일","57,400","58,200","58,400","56,600","2.34M","-0.86%"
"2017년 05월 29일","57,900","57,700","58,800","57,100","3.29M","1.40%"
"2017년 05월 28일","57,100","57,100","57,100","57,100","-","0.00%"
"2017년 05월 26일","57,100","56,000","57,100","56,000","3.12M","2.33%"
"2017년 05월 25일","55,800","56,400","56,400","55,400","1.99M","0.00%"
"2017년 05월 24일","55,800","55,700","56,500","55,600","2.32M","1.27%"
"2017년 05월 23일","55,100","56,400","56,500","55,000","2.40M","-1.61%"
"2017년 05월 22일","56,000","54,900","56,000","54,800","2.54M","3.32%"
"2017년 05월 21일","54,200","54,200","54,200","54,200","0.05K","0.00%"
"2017년 05월 19일","54,200","55,100","55,600","54,200","2.80M","-2.69%"
"2017년 05월 18일","55,700","53,600","55,700","53,400","3.48M","1.83%"
"2017년 05월 17일","54,700","55,400","55,700","54,400","2.48M","-1.08%"
"2017년 05월 16일","55,300","56,200","56,800","55,200","2.54M","-0.54%"
"2017년 05월 15일","55,600","55,300","56,100","55,300","1.54M","0.54%"
"2017년 05월 14일","55,300","55,300","55,300","55,300","0.09K","0.00%"
"2017년 05월 12일","55,300","56,400","56,400","55,100","2.27M","-1.95%"
"2017년 05월 11일","56,400","56,000","56,400","54,800","3.38M","1.44%"
"2017년 05월 10일","55,600","57,400","58,100","55,200","4.76M","-2.28%"
"2017년 05월 09일","56,900","56,900","56,900","56,900","5.74K","0.00%"
"2017년 05월 08일","56,900","56,000","57,000","55,700","3.80M","1.79%"
"2017년 05월 07일","55,900","55,900","55,900","55,900","0.29K","0.00%"
"2017년 05월 04일","55,900","55,900","55,900","55,000","2.77M","0.90%"
"2017년 05월 03일","55,400","55,400","55,400","55,400","0.09K","0.00%"
"2017년 05월 02일","55,400","55,300","55,900","54,800","4.34M","2.59%"
"2017년 05월 01일","54,000","54,000","54,000","54,000","0.07K","0.00%"
"2017년 04월 28일","54,000","53,600","54,700","53,400","3.56M","0.75%"
"2017년 04월 27일","53,600","53,800","53,900","52,700","2.74M","-0.19%"
"2017년 04월 26일","53,700","53,100","54,200","53,000","5.59M","2.48%"
"2017년 04월 25일","52,400","52,800","52,800","51,300","5.31M","0.00%"
"2017년 04월 24일","52,400","52,700","53,200","52,100","3.15M","0.77%"
"2017년 04월 23일","52,000","52,000","52,000","52,000","2.53K","0.00%"
"2017년 04월 21일","52,000","51,800","52,500","51,300","3.81M","1.17%"
"2017년 04월 20일","51,400","49,750","51,700","49,700","3.42M","3.11%"
"2017년 04월 19일","49,850","50,300","50,400","49,850","1.56M","-0.70%"
"2017년 04월 18일","50,200","49,600","50,400","49,300","1.89M","2.03%"
"2017년 04월 17일","49,200","50,200","50,300","49,100","2.00M","-1.20%"
"2017년 04월 16일","49,800","49,800","49,800","49,800","0.32K","0.00%"
"2017년 04월 14일","49,800","49,750","50,700","49,450","2.84M","0.10%"
"2017년 04월 13일","49,750","49,100","50,200","48,650","2.36M","1.53%"
"2017년 04월 12일","49,000","48,800","49,200","48,550","1.68M","0.31%"
"2017년 04월 11일","48,850","48,550","49,350","48,400","2.38M","-0.31%"
"2017년 04월 10일","49,000","49,700","49,750","48,950","1.75M","-1.61%"
"2017년 04월 09일","49,800","49,800","49,800","49,800","1.16K","0.00%"
"2017년 04월 07일","49,800","49,450","49,800","48,700","2.64M","0.81%"
"2017년 04월 06일","49,400","50,300","50,500","49,100","2.99M","-1.79%"
"2017년 04월 05일","50,300","50,600","51,000","49,950","2.74M","-1.37%"
"2017년 04월 04일","51,000","52,100","52,200","50,800","2.19M","-1.54%"
"2017년 04월 03일","51,800","50,800","51,900","50,700","2.35M","2.57%"
"2017년 04월 02일","50,500","50,500","50,500","50,500","0.17K","0.00%"
"2017년 03월 31일","50,500","50,800","50,800","49,900","2.65M","-0.79%"
"2017년 03월 30일","50,900","51,100","51,500","50,200","2.20M","-0.78%"
"2017년 03월 29일","51,300","51,000","52,200","50,800","4.10M","0.98%"
"2017년 03월 28일","50,800","51,200","51,300","50,000","2.86M","0.20%"
"2017년 03월 27일","50,700","50,000","51,100","49,950","5.60M","2.42%"
"2017년 03월 26일","49,500","49,500","49,500","49,500","5.96K","0.00%"
"2017년 03월 24일","49,500","50,000","50,200","49,300","5.16M","2.17%"
"2017년 03월 23일","48,450","48,950","49,300","48,150","2.47M","-0.41%"
"2017년 03월 22일","48,650","47,000","48,800","47,000","4.15M","2.31%"
"2017년 03월 21일","47,550","47,900","48,250","47,000","3.71M","-0.11%"
"2017년 03월 20일","47,600","46,950","47,650","46,550","3.92M","1.82%"
"2017년 03월 19일","46,750","46,750","46,750","46,750","2.80K","0.00%"
"2017년 03월 17일","46,750","48,400","48,400","46,600","7.95M","-4.88%"
"2017년 03월 16일","49,150","49,350","49,650","48,500","3.43M","0.72%"
"2017년 03월 15일","48,800","49,350","49,500","48,550","4.68M","-2.98%"
"2017년 03월 14일","50,300","51,800","51,900","50,300","4.02M","-1.37%"
"2017년 03월 13일","51,000","49,550","51,100","49,300","4.94M","3.66%"
"2017년 03월 12일","49,200","49,200","49,200","49,200","0.09K","0.00%"
"2017년 03월 10일","49,200","48,100","49,550","47,500","3.82M","2.50%"
"2017년 03월 09일","48,000","48,200","48,850","48,000","2.87M","0.00%"
"2017년 03월 08일","48,000","48,800","49,300","47,900","3.65M","-1.64%"
"2017년 03월 07일","48,800","49,100","49,300","48,050","3.43M","-1.11%"
"2017년 03월 06일","49,350","47,600","49,400","47,550","4.97M","4.78%"
"2017년 03월 05일","47,100","47,100","47,100","47,100","1.00K","0.00%"
"2017년 03월 03일","47,100","47,650","48,250","46,700","3.93M","-1.26%"
"2017년 03월 02일","47,700","46,850","47,850","46,800","6.86M","2.14%"
"2017년 03월 01일","46,700","46,700","46,700","46,700","0.01K","0.00%"
"2017년 02월 28일","46,700","46,600","47,600","46,200","5.43M","1.52%"
"2017년 02월 27일","46,000","46,850","47,000","45,650","7.59M","-3.16%"
"2017년 02월 26일","47,500","47,500","47,500","47,500","4.34K","0.00%"
"2017년 02월 24일","47,500","49,850","50,000","47,400","7.65M","-5.38%"
"2017년 02월 23일","50,200","50,000","50,400","49,050","3.35M","-0.79%"
"2017년 02월 22일","50,600","51,600","51,700","50,600","2.67M","-0.59%"
"2017년 02월 21일","50,900","49,950","51,000","49,350","2.18M","2.00%"
"2017년 02월 20일","49,900","50,900","51,000","49,600","2.26M","-0.99%"
"2017년 02월 19일","50,400","50,400","50,400","50,400","0.76K","0.00%"
"2017년 02월 17일","50,400","50,400","51,100","50,200","4.89M","1.61%"
"2017년 02월 16일","49,600","48,350","49,600","48,200","4.82M","3.55%"
"2017년 02월 15일","47,900","48,300","48,700","47,550","8.59M","-1.14%"
"2017년 02월 14일","48,450","51,100","51,600","48,100","8.57M","-4.44%"
"2017년 02월 13일","50,700","49,550","51,000","49,500","4.08M","1.40%"
"2017년 02월 12일","50,000","50,000","50,000","50,000","2.27K","0.00%"
"2017년 02월 10일","50,000","52,000","52,200","50,000","8.91M","-5.12%"
"2017년 02월 09일","52,700","53,100","53,700","52,500","6.54M","-3.48%"
"2017년 02월 08일","54,600","53,700","54,600","52,400","3.48M","2.44%"
"2017년 02월 07일","53,300","53,800","54,500","53,100","2.40M","-0.74%"
"2017년 02월 06일","53,700","54,200","54,400","53,300","1.89M","0.00%"
"2017년 02월 05일","53,700","53,700","53,700","53,700","1.78K","0.00%"
"2017년 02월 03일","53,700","52,500","53,700","51,800","3.54M","1.70%"
"2017년 02월 02일","52,800","53,500","54,000","52,700","3.48M","-2.22%"
"2017년 02월 01일","54,000","54,300","54,900","53,700","2.79M","0.56%"
"2017년 01월 31일","53,700","53,300","54,500","52,700","4.11M","0.75%"
"2017년 01월 30일","53,300","53,300","53,300","53,300","9.16K","0.00%"
"2017년 01월 26일","53,300","52,500","53,500","52,400","4.51M","3.09%"
"2017년 01월 25일","51,700","52,200","52,500","51,600","2.71M","0.19%"
"2017년 01월 24일","51,600","51,300","52,000","51,100","3.44M","1.57%"
"2017년 01월 23일","50,800","49,950","51,000","49,900","4.13M","3.36%"
"2017년 01월 22일","49,150","49,150","49,150","49,150","0.01K","0.00%"
"2017년 01월 20일","49,150","49,700","50,100","49,150","1.94M","-0.91%"
"2017년 01월 19일","49,600","49,550","50,100","49,100","2.31M","1.54%"
"2017년 01월 18일","48,850","48,950","49,400","48,300","2.97M","-0.91%"
"2017년 01월 17일","49,300","49,300","50,200","49,250","2.30M","0.00%"
"2017년 01월 16일","49,300","50,100","50,300","48,800","4.56M","-1.99%"
"2017년 01월 15일","50,300","50,300","50,300","50,300","2.77K","0.00%"
"2017년 01월 13일","50,300","49,850","50,700","49,850","4.21M","-0.59%"
"2017년 01월 12일","50,600","51,600","51,600","50,400","5.01M","-1.94%"
"2017년 01월 11일","51,600","50,000","51,900","50,000","4.31M","3.72%"
"2017년 01월 10일","49,750","49,850","50,200","49,200","2.56M","0.40%"
"2017년 01월 09일","49,550","48,500","49,750","48,200","3.71M","3.23%"
"2017년 01월 08일","48,000","48,000","48,000","48,000","0.15K","0.00%"
"2017년 01월 06일","48,000","47,700","48,450","47,600","3.08M","2.24%"
"2017년 01월 05일","46,950","47,000","47,500","46,850","2.37M","0.97%"
"2017년 01월 04일","46,500","47,000","47,150","46,200","2.63M","-1.59%"
"2017년 01월 03일","47,250","46,200","47,300","46,200","2.65M","3.17%"
"2017년 01월 02일","45,800","44,750","46,000","44,600","1.54M","2.46%"
"2017년 01월 01일","44,700","44,700","44,700","44,700","0.22K","0.00%"
"2016년 12월 29일","44,700","45,150","45,200","44,600","1.81M","-1.43%"
"2016년 12월 28일","45,350","45,350","45,750","45,100","1.29M","-0.66%"
"2016년 12월 27일","45,650","45,550","45,950","45,400","1.17M","0.00%"
"2016년 12월 26일","45,650","46,200","46,600","45,250","1.60M","-1.40%"
"2016년 12월 25일","46,300","46,300","46,300","46,300","0.01K","0.00%"
"2016년 12월 23일","46,300","46,200","46,400","45,950","2.50M","1.76%"
"2016년 12월 22일","45,500","46,000","46,650","45,150","4.02M","1.11%"
"2016년 12월 21일","45,000","45,500","45,750","45,000","1.66M","-0.33%"
"2016년 12월 20일","45,150","45,400","45,550","44,950","1.10M","0.00%"
"2016년 12월 19일","45,150","46,250","46,300","45,050","1.99M","-2.69%"
"2016년 12월 18일","46,400","46,400","46,400","46,400","2.73K","0.00%"
"2016년 12월 16일","46,400","45,800","46,450","45,700","2.10M","1.75%"
"2016년 12월 15일","45,600","45,850","46,050","45,000","1.82M","-0.55%"
"2016년 12월 14일","45,850","45,350","46,100","45,350","2.01M","2.00%"
"2016년 12월 13일","44,950","44,700","45,700","44,700","1.81M","-0.77%"
"2016년 12월 12일","45,300","45,750","45,850","44,850","1.44M","-0.44%"
"2016년 12월 09일","45,500","46,450","46,750","45,450","3.00M","-1.62%"
"2016년 12월 08일","46,250","46,200","46,650","46,100","3.31M","2.21%"
"2016년 12월 07일","45,250","45,750","45,800","45,200","1.98M","0.11%"
"2016년 12월 06일","45,200","44,700","45,500","44,600","3.09M","1.80%"
"2016년 12월 05일","44,400","44,050","44,600","43,800","1.70M","0.00%"
"2016년 12월 04일","44,400","44,400","44,400","44,400","0.40K","0.00%"
"2016년 12월 02일","44,400","43,350","44,500","43,300","4.00M","0.45%"
"2016년 12월 01일","44,200","43,000","44,400","43,000","3.44M","3.03%"
"2016년 11월 30일","42,900","42,900","43,800","42,650","4.24M","1.18%"
"2016년 11월 29일","42,400","42,400","43,100","41,800","1.77M","-0.47%"
"2016년 11월 28일","42,600","42,400","43,250","42,100","1.51M","0.00%"
"2016년 11월 27일","42,600","42,600","42,600","42,600","0.00K","0.00%"
"2016년 11월 25일","42,600","43,050","43,300","42,250","1.33M","-0.12%"
"2016년 11월 24일","42,650","43,350","43,850","42,500","1.79M","-0.93%"
"2016년 11월 23일","43,050","43,000","43,900","42,550","3.77M","0.82%"
"2016년 11월 22일","42,700","41,250","42,800","41,200","3.30M","4.79%"
"2016년 11월 21일","40,750","41,800","41,900","40,650","1.86M","-2.98%"
"2016년 11월 20일","42,000","42,000","42,000","42,000","0.42K","0.00%"
"2016년 11월 18일","42,000","42,300","42,400","41,700","3.12M","0.24%"
"2016년 11월 17일","41,900","41,500","41,900","41,200","2.38M","2.57%"
"2016년 11월 16일","40,850","40,450","41,000","40,250","2.10M","2.90%"
"2016년 11월 15일","39,700","39,700","40,400","39,500","2.03M","0.00%"
"2016년 11월 14일","39,700","40,000","40,450","39,700","1.58M","-0.38%"
"2016년 11월 13일","39,850","39,850","39,850","39,850","0.52K","0.00%"
"2016년 11월 11일","39,850","40,000","40,450","39,550","2.94M","-2.80%"
"2016년 11월 10일","41,000","41,000","41,050","40,500","2.52M","3.40%"
"2016년 11월 09일","39,650","41,650","41,750","38,700","5.76M","-4.46%"
"2016년 11월 08일","41,500","42,100","42,150","41,250","1.88M","0.00%"
"2016년 11월 07일","41,500","41,800","42,050","41,200","2.03M","0.73%"
"2016년 11월 06일","41,200","41,200","41,200","41,200","0.60K","0.00%"
"2016년 11월 04일","41,200","41,150","41,400","40,850","1.94M","0.12%"
"2016년 11월 03일","41,150","40,900","41,700","40,700","2.54M","0.37%"
"2016년 11월 02일","41,000","41,250","41,400","40,450","2.82M","-2.38%"
"2016년 11월 01일","42,000","41,700","42,350","41,600","2.66M","2.44%"
"2016년 10월 31일","41,000","42,500","42,900","41,000","3.26M","-3.42%"
"2016년 10월 30일","42,450","42,450","42,450","42,450","3.32K","0.00%"
"2016년 10월 28일","42,450","42,700","42,950","42,100","1.99M","-1.28%"
"2016년 10월 27일","43,000","42,900","43,600","42,600","4.63M","0.23%"
"2016년 10월 26일","42,900","41,300","42,900","41,300","5.87M","4.51%"
"2016년 10월 25일","41,050","40,350","41,650","40,200","4.14M","2.24%"
"2016년 10월 24일","40,150","41,000","41,150","39,850","2.20M","-1.95%"
"2016년 10월 23일","40,950","40,950","40,950","40,950","0.07K","0.00%"
"2016년 10월 21일","40,950","39,500","41,000","39,500","2.29M","2.25%"
"2016년 10월 20일","40,050","40,250","40,300","38,850","5.09M","0.00%"
"2016년 10월 19일","40,050","41,150","41,450","39,850","5.00M","-3.84%"
"2016년 10월 18일","41,650","42,200","42,300","41,300","2.36M","-1.54%"
"2016년 10월 17일","42,300","41,750","42,300","41,400","2.21M","1.81%"
"2016년 10월 16일","41,550","41,550","41,550","41,550","0.60K","0.00%"
"2016년 10월 14일","41,550","41,300","41,900","41,200","2.67M","1.47%"
"2016년 10월 13일","40,950","41,450","41,700","40,950","2.96M","-0.73%"
"2016년 10월 12일","41,250","41,000","41,900","41,000","2.96M","-0.12%"
"2016년 10월 11일","41,300","41,300","42,000","41,100","2.81M","0.00%"
"2016년 10월 10일","41,300","42,200","42,500","41,200","2.91M","-2.13%"
"2016년 10월 09일","42,200","42,200","42,200","42,200","0.54K","0.00%"
"2016년 10월 07일","42,200","42,700","42,700","41,900","2.44M","-0.82%"
"2016년 10월 06일","42,550","43,100","43,150","42,400","2.79M","-0.12%"
"2016년 10월 05일","42,600","42,150","42,950","41,200","4.35M","1.91%"
